text,vehicle,name
"At first, Ford in Germany and Ford in Britain built different models from one another until 1965, when the Ford Transit and later the Ford Escort and the Ford Capri became common to both companies.","Ford Transit, Ford Escort, Ford Capri",
"The operation, branded NedCar, began producing the first generation Mitsubishi Carisma alongside the Volvo S40/V40 in 1996","Mitsubishi Carisma, Volvo S40/V40",
The Volvo T5 petrol engine was used in the Ford Focus ST and RS performance models,"Volvo T5, Ford Focus ST",
"In October 2016, Mercedes unveiled the X-Class; a pickup truck built on the Nissan Navara",Nissan Navara,
"The Mercedes-Benz S400 BlueHYBRID was launched in 2009, and is the first production automotive hybrid in the world to use a lithium-ion battery.",Mercedes-Benz S400 BlueHYBRID,
"after the 1955 Le Mans disaster, where a Mercedes-Benz 300 SLR rammed another car (An Austin-Healey), took off into the stands, and killed more than 80 spectators.","Mercedes-Benz 300 SLR, Austin-Healey",
the 1955 Mille Miglia road race in Italy during a record-breaking drive with an average speed of almost 98 mph in a Mercedes-Benz 300 SLR.,Mercedes-Benz 300 SLR,
"The 1990s also saw the return of Mercedes-Benz to GT racing with the Mercedes-Benz CLK GTR, which took the company to two titles in FIA's GT1 class.",Mercedes-Benz CLK GTR,
"At 181 horsepower per litre, the M133 engine installed in Mercedes-Benz A45 AMG is the most powerful series-production four-cylinder turbocharged motor",Mercedes-Benz A45 AMG,
CCTV cameras captured part of the chase as a convoy of police and security company vehicles pursued suspects in a black VW Polo on Tuesday,VW Polo,
A Kia Soul was seen speeding down the Broadway Extension around 3:15 a.m. with Edmond police hot on their tail.,Kia Soul,
Bommarito Automotive SkyFOX was following a stolen F-150 out of Lincoln County Friday morning at about 7:15 a.m.,F-150,
Production of hardtop sedan body style ended with the 1978 Chrysler Newport.,Chrysler Newport,
A postwar example is the Rover 3 Litre Coupé,Rover 3 Litre Coupé,
The 1936 Stout Scarab is often regarded as the first minivan,Stout Scarab,
"In 1950, the Volkswagen Type 2 adapted a bus-shaped body to the chassis of a small passenger car (the Volkswagen Beetle)","Volkswagen Type 2, Volkswagen Beetle",
The 1956-1969 Fiat Multipla also had many features in common with modern minivans,Fiat Multipla,
"The result of this program was the first American minivan, the 1984 Plymouth Voyager",Plymouth Voyager,
"In response to the popularity of the Voyager/Caravan, General Motors released the 1985 Chevrolet Astro and GMC Safari badge-engineered twins, and Ford released the 1986 Ford Aerostar.","Chevrolet Astro, GMC Safari, Ford Aerostar",
"An increase in luxury features and interior equipment was seen in the Eddie Bauer version of the 1988 Ford Aerostar, the 1990 Chrysler Town & Country, and the 1990 Oldsmobile Silhouette","Ford Aerostar, Chrysler Town & Country, Oldsmobile Silhouette",
"For 2021, the Corolla showed out with interior and exterior additions that were all notable.",Corolla ,
We were very impressed with the front-wheel-drive Corolla and its ability to check so many boxes when searching within the economy daily driver category,Corolla,
"The Corolla least powerful car in this race and, thanks to the additional battery required for the hybrid system, it’s also the heaviest of the three cars, weighing in at 1400kg.",Corolla,
"Next up is the Honda Civic, which was first launched in 1972. The car has come a long way since then but the ethos remains the same – fun, affordable and reliable transport.",Honda Civic,
"The new Civic model is the lightest of the three cars racing, coming in at just 1300kg.",Civic,
"Another plus point for the Civic is the fact that it’s the cheapest of all three cars racing, with the price of our car topping out at just £26,910",Civic,
Last but not least is the ever-popular Volkswagen Golf,Volkswagen Golf,
"It’s also front-wheel drive and while the Corolla and Civic both have CVT gearboxes, the Golf has a 7-speed dual-clutch transmission.","Corolla, Civic, Golf",
"On paper, the Golf has the highest power output at 150hp and 250Nm but it’s also the second heaviest, tipping the scales at 1380kg. The car in our race costs approximately the same as the £28,000 Corolla.","Golf, Corolla",
This particular GR Yaris has been fitted with a custom catback exhaust system and is running a new K&N air filter.,Yaris,
"Given how popular the GR Yaris is proving to be among car enthusiasts, there’s no doubt the aftermarket scene will soon explode with upgrades.",Yaris,
